clip_idx,segment,group,split
0,vowel_mid__w0000__t0.000s,vowel_a,test
0,vowel_mid__w0001__t0.050s,vowel_a,test
0,vowel_mid__w0002__t0.100s,vowel_a,test
0,vowel_mid__w0003__t0.150s,vowel_a,test
0,vowel_mid__w0004__t0.200s,vowel_a,test
0,vowel_mid__w0005__t0.250s,vowel_a,test
1,full__w0000__t0.000s,vowel_i,test
1,full__w0001__t0.050s,vowel_i,test
1,full__w0002__t0.100s,vowel_i,test
1,full__w0003__t0.150s,vowel_i,test
1,full__w0004__t0.200s,vowel_i,test
1,full__w0005__t0.250s,vowel_i,test
1,full__w0006__t0.300s,vowel_i,test
1,full__w0007__t0.350s,vowel_i,test
1,full__w0008__t0.400s,vowel_i,test
1,full__w0009__t0.450s,vowel_i,test
1,full__w0010__t0.500s,vowel_i,test
1,full__w0011__t0.550s,vowel_i,test
1,full__w0012__t0.600s,vowel_i,test
1,full__w0013__t0.650s,vowel_i,test
1,full__w0014__t0.700s,vowel_i,test
1,full__w0015__t0.750s,vowel_i,test
1,full__w0016__t0.800s,vowel_i,test
1,full__w0017__t0.850s,vowel_i,test
1,full__w0018__t0.900s,vowel_i,test
1,full__w0019__t0.950s,vowel_i,test
1,full__w0020__t1.000s,vowel_i,test
1,full__w0021__t1.050s,vowel_i,test
1,full__w0022__t1.100s,vowel_i,test
1,full__w0023__t1.150s,vowel_i,test
1,full__w0024__t1.200s,vowel_i,test
1,full__w0025__t1.250s,vowel_i,test
1,full__w0026__t1.300s,vowel_i,test
1,full__w0027__t1.350s,vowel_i,test
1,full__w0028__t1.400s,vowel_i,test
1,full__w0029__t1.450s,vowel_i,test
1,full__w0030__t1.500s,vowel_i,test
1,full__w0031__t1.550s,vowel_i,test
1,full__w0032__t1.600s,vowel_i,test
1,full__w0033__t1.650s,vowel_i,test
1,full__w0034__t1.700s,vowel_i,test
1,full__w0035__t1.750s,vowel_i,test
2,fricative_mid__w0000__t0.000s,fricative_s,test
2,fricative_mid__w0001__t0.050s,fricative_s,test
2,fricative_mid__w0002__t0.100s,fricative_s,test
2,fricative_mid__w0003__t0.150s,fricative_s,test
2,fricative_mid__w0004__t0.200s,fricative_s,test
2,fricative_mid__w0005__t0.250s,fricative_s,test
3,seg1__w0000__t0.000s,sentence,train
3,seg1__w0001__t0.050s,sentence,train
3,seg1__w0002__t0.100s,sentence,train
3,seg1__w0003__t0.150s,sentence,train
3,seg1__w0004__t0.200s,sentence,train
3,seg1__w0005__t0.250s,sentence,train
3,seg1__w0006__t0.300s,sentence,train
3,seg1__w0007__t0.350s,sentence,train
3,seg1__w0008__t0.400s,sentence,train
3,seg1__w0009__t0.450s,sentence,train
3,vowel_mid__w0000__t0.000s,sentence,train
3,vowel_mid__w0001__t0.050s,sentence,train
3,vowel_mid__w0002__t0.100s,sentence,train
3,vowel_mid__w0003__t0.150s,sentence,train
3,vowel_mid__w0004__t0.200s,sentence,train
3,vowel_mid__w0005__t0.250s,sentence,train
3,vowel_mid__w0006__t0.300s,sentence,train
3,vowel_mid__w0007__t0.350s,sentence,train
3,vowel_mid__w0008__t0.400s,sentence,train
3,vowel_mid__w0009__t0.450s,sentence,train
3,fricative_mid__w0000__t0.000s,sentence,train
3,fricative_mid__w0001__t0.050s,sentence,train
3,fricative_mid__w0002__t0.100s,sentence,train
3,fricative_mid__w0003__t0.150s,sentence,train
3,fricative_mid__w0004__t0.200s,sentence,train
3,fricative_mid__w0005__t0.250s,sentence,train
3,sentence_mid__w0000__t0.000s,sentence,train
3,sentence_mid__w0001__t0.050s,sentence,train
3,sentence_mid__w0002__t0.100s,sentence,train
3,sentence_mid__w0003__t0.150s,sentence,train
3,sentence_mid__w0004__t0.200s,sentence,train
3,sentence_mid__w0005__t0.250s,sentence,train
4,full__w0000__t0.000s,vowel_a,train
4,full__w0001__t0.050s,vowel_a,train
4,full__w0002__t0.100s,vowel_a,train
4,full__w0003__t0.150s,vowel_a,train
4,full__w0004__t0.200s,vowel_a,train
4,full__w0005__t0.250s,vowel_a,train
4,full__w0006__t0.300s,vowel_a,train
4,full__w0007__t0.350s,vowel_a,train
4,full__w0008__t0.400s,vowel_a,train
4,full__w0009__t0.450s,vowel_a,train
4,full__w0010__t0.500s,vowel_a,train
4,full__w0011__t0.550s,vowel_a,train
4,full__w0012__t0.600s,vowel_a,train
4,full__w0013__t0.650s,vowel_a,train
4,full__w0014__t0.700s,vowel_a,train
4,full__w0015__t0.750s,vowel_a,train
4,full__w0016__t0.800s,vowel_a,train
4,full__w0017__t0.850s,vowel_a,train
4,full__w0018__t0.900s,vowel_a,train
4,full__w0019__t0.950s,vowel_a,train
4,full__w0020__t1.000s,vowel_a,train
4,full__w0021__t1.050s,vowel_a,train
4,full__w0022__t1.100s,vowel_a,train
4,full__w0023__t1.150s,vowel_a,train
4,full__w0024__t1.200s,vowel_a,train
4,full__w0025__t1.250s,vowel_a,train
4,full__w0026__t1.300s,vowel_a,train
4,full__w0027__t1.350s,vowel_a,train
4,full__w0028__t1.400s,vowel_a,train
4,full__w0029__t1.450s,vowel_a,train
4,full__w0030__t1.500s,vowel_a,train
4,full__w0031__t1.550s,vowel_a,train
4,full__w0032__t1.600s,vowel_a,train
4,full__w0033__t1.650s,vowel_a,train
4,full__w0034__t1.700s,vowel_a,train
4,full__w0035__t1.750s,vowel_a,train
5,full__w0000__t0.000s,vowel_i,train
5,full__w0001__t0.050s,vowel_i,train
5,full__w0002__t0.100s,vowel_i,train
5,full__w0003__t0.150s,vowel_i,train
5,full__w0004__t0.200s,vowel_i,train
5,full__w0005__t0.250s,vowel_i,train
5,full__w0006__t0.300s,vowel_i,train
5,full__w0007__t0.350s,vowel_i,train
5,full__w0008__t0.400s,vowel_i,train
5,full__w0009__t0.450s,vowel_i,train
5,full__w0010__t0.500s,vowel_i,train
5,full__w0011__t0.550s,vowel_i,train
5,full__w0012__t0.600s,vowel_i,train
5,full__w0013__t0.650s,vowel_i,train
5,full__w0014__t0.700s,vowel_i,train
5,full__w0015__t0.750s,vowel_i,train
5,full__w0016__t0.800s,vowel_i,train
5,full__w0017__t0.850s,vowel_i,train
5,full__w0018__t0.900s,vowel_i,train
5,full__w0019__t0.950s,vowel_i,train
5,full__w0020__t1.000s,vowel_i,train
5,full__w0021__t1.050s,vowel_i,train
5,full__w0022__t1.100s,vowel_i,train
5,full__w0023__t1.150s,vowel_i,train
5,full__w0024__t1.200s,vowel_i,train
5,full__w0025__t1.250s,vowel_i,train
5,full__w0026__t1.300s,vowel_i,train
5,full__w0027__t1.350s,vowel_i,train
5,full__w0028__t1.400s,vowel_i,train
5,full__w0029__t1.450s,vowel_i,train
5,full__w0030__t1.500s,vowel_i,train
5,full__w0031__t1.550s,vowel_i,train
5,full__w0032__t1.600s,vowel_i,train
5,full__w0033__t1.650s,vowel_i,train
5,full__w0034__t1.700s,vowel_i,train
5,full__w0035__t1.750s,vowel_i,train
6,full__w0000__t0.000s,fricative_s,train
6,full__w0001__t0.050s,fricative_s,train
6,full__w0002__t0.100s,fricative_s,train
6,full__w0003__t0.150s,fricative_s,train
6,full__w0004__t0.200s,fricative_s,train
6,full__w0005__t0.250s,fricative_s,train
6,full__w0006__t0.300s,fricative_s,train
6,full__w0007__t0.350s,fricative_s,train
6,full__w0008__t0.400s,fricative_s,train
6,full__w0009__t0.450s,fricative_s,train
6,full__w0010__t0.500s,fricative_s,train
6,full__w0011__t0.550s,fricative_s,train
6,full__w0012__t0.600s,fricative_s,train
6,full__w0013__t0.650s,fricative_s,train
6,full__w0014__t0.700s,fricative_s,train
6,full__w0015__t0.750s,fricative_s,train
6,full__w0016__t0.800s,fricative_s,train
6,full__w0017__t0.850s,fricative_s,train
6,full__w0018__t0.900s,fricative_s,train
6,full__w0019__t0.950s,fricative_s,train
6,full__w0020__t1.000s,fricative_s,train
6,full__w0021__t1.050s,fricative_s,train
6,full__w0022__t1.100s,fricative_s,train
6,full__w0023__t1.150s,fricative_s,train
6,full__w0024__t1.200s,fricative_s,train
6,full__w0025__t1.250s,fricative_s,train
6,full__w0026__t1.300s,fricative_s,train
6,full__w0027__t1.350s,fricative_s,train
6,full__w0028__t1.400s,fricative_s,train
6,full__w0029__t1.450s,fricative_s,train
6,full__w0030__t1.500s,fricative_s,train
6,full__w0031__t1.550s,fricative_s,train
6,full__w0032__t1.600s,fricative_s,train
6,full__w0033__t1.650s,fricative_s,train
6,full__w0034__t1.700s,fricative_s,train
6,full__w0035__t1.750s,fricative_s,train
7,full__w0000__t0.000s,sentence,test
7,full__w0001__t0.050s,sentence,test
7,full__w0002__t0.100s,sentence,test
